VMIP		isBooked	BookedByUser	Date&TimeStamp
192.168.0.1		Y		johndoe			22Aug2022_09:00AMIST
192.168.0.2		N		NA			
192.168.0.3		Y		jandoe1			23Aug2022_09:00AMGMT
192.168.0.4		Y		jandoe2			23Aug2022_09:00AMGMT
192.168.0.5		Y		jandoe3			23Aug2022_09:00AMGMT
192.168.0.6		Y		jandoe4			23Aug2022_09:00AMGMT
192.168.0.7		Y		jandoe5			23Aug2022_09:00AMGMT
192.168.0.8		Y		jandoe6			23Aug2022_09:00AMGMT
192.168.0.9		Y		jandoe7			23Aug2022_09:00AMGMT
192.168.0.10	Y		jandoe8			23Aug2022_09:00AMGMT
192.168.0.11	Y		jandoe9			23Aug2022_09:00AMGMT
192.168.0.12	Y		jandoe10		23Aug2022_09:00AMGMT
192.168.0.13	Y		jandoe11		23Aug2022_09:00AMGMT
192.168.0.14	Y		jandoe12		23Aug2022_09:00AMGMT
192.168.0.15	Y		jandoe13		23Aug2022_09:00AMGMT
192.168.0.16	Y		jandoe14		23Aug2022_09:00AMGMT
192.168.0.17	N		
192.168.0.18	N		
192.168.0.19	N		
192.168.0.20	N		
192.168.0.21	N		
192.168.0.22	N		
192.168.0.23	N		
192.168.0.24	N		
192.168.0.25	N		
192.168.0.26	N		
192.168.0.27	N		
192.168.0.28	N		
192.168.0.29	N		
192.168.0.30	N		
192.168.0.31	N		
192.168.0.32	N		
192.168.0.33	N		
192.168.0.34	N		
192.168.0.35	N		
192.168.0.36	N		
192.168.0.37	N		
192.168.0.38	N		
192.168.0.39	N		
192.168.0.40	N		
192.168.0.41	N		
192.168.0.42	N		
192.168.0.43	N		
192.168.0.44	N		
192.168.0.45	N		
192.168.0.46	N		
192.168.0.47	N		
192.168.0.48	N		
192.168.0.49	N		
192.168.0.50	N		
192.168.0.51	N		
192.168.0.52	N		
192.168.0.53	N		
192.168.0.54	N		
192.168.0.55	N		
192.168.0.56	N		
192.168.0.57	N		
192.168.0.58	N		
192.168.0.59	N		
192.168.0.60	N		
192.168.0.61	N		
192.168.0.62	N		
192.168.0.63	N		
192.168.0.64	N		
192.168.0.65	N		
192.168.0.66	N		
192.168.0.67	N		
192.168.0.68	N		
192.168.0.69	N		
192.168.0.70	N		
192.168.0.71	N		
192.168.0.72	N		
192.168.0.73	N		
192.168.0.74	N		
192.168.0.75	N		
192.168.0.76	N		
192.168.0.77	N		
192.168.0.78	N		
192.168.0.79	N		
192.168.0.80	N		
192.168.0.81	N		
192.168.0.82	N		
192.168.0.83	N		
192.168.0.84	N		
192.168.0.85	N		
192.168.0.86	N		
192.168.0.87	N		
192.168.0.88	N		
192.168.0.89	N		
192.168.0.90	N		
192.168.0.91	N		
192.168.0.92	N		
192.168.0.93	N		
192.168.0.94	N		
192.168.0.95	N		
192.168.0.96	N		
192.168.0.97	N		
192.168.0.98	N		
192.168.0.99	N		
192.168.0.100	N		
